name,url,gene_type,also_known_as,summary,Location,error
Jazf1 JAZF zinc finger 1 [ Rattus norvegicus (Norway rat) ],https://www.ncbi.nlm.nih.gov/gene/685879/,protein coding,"Predicted to enable transcription corepressor activity. Predicted to act upstream of or within negative regulation of transcription by RNA polymerase II. Predicted to be located in cytosol; fibrillar center; and nucleoplasm. Predicted to be part of transcription repressor complex. Predicted to be active in nucleus. Orthologous to human JAZF1 (JAZF zinc finger 1). [provided by Alliance of Genome Resources, Apr 2022]","Biased expression in Brain (RPKM 42.4), Thymus (RPKM 41.3) and 9 other tissues See more",4q24,
Wfs1 wolframin ER transmembrane glycoprotein [ Rattus norvegicus (Norway rat) ],https://www.ncbi.nlm.nih.gov/gene/83725/,protein coding,"Enables several functions, including calmodulin binding activity; proteasome binding activity; and ubiquitin protein ligase binding activity. Involved in several processes, including negative regulation of ATF6-mediated unfolded protein response; protein stabilization; and regulation of transcription, DNA-templated. Is integral component of synaptic vesicle membrane. Used to study cataract; diabetes mellitus; and glucose intolerance. Biomarker of post-traumatic stress disorder and visual epilepsy. Human ortholog(s) of this gene implicated in Wolfram syndrome (multiple); auditory system disease (multiple); cataract 41; diabetes mellitus (multiple); and optic atrophy (multiple). Orthologous to human WFS1 (wolframin ER transmembrane glycoprotein). [provided by Alliance of Genome Resources, Apr 2022]","Biased expression in Brain (RPKM 87.3), Adrenal (RPKM 73.0) and 9 other tissues See more",14q21,
"TCF2
",,,,,,"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""[id=""gene_title""]""}
  (Session info: chrome=102.0.5005.61)
Stacktrace:
0   chromedriver                        0x0000000101335170 chromedriver + 4477296
1   chromedriver                        0x00000001012ccc18 chromedriver + 4049944
2   chromedriver                        0x0000000100f1ed40 chromedriver + 191808
3   chromedriver                        0x0000000100f4db28 chromedriver + 383784
4   chromedriver                        0x0000000100f7685c chromedriver + 551004
5   chromedriver                        0x0000000100f42f58 chromedriver + 339800
6   chromedriver                        0x000000010130abd4 chromedriver + 4303828
7   chromedriver                        0x000000010130f094 chromedriver + 4321428
8   chromedriver                        0x0000000101313600 chromedriver + 4339200
9   chromedriver                        0x000000010130faf4 chromedriver + 4324084
10  chromedriver                        0x00000001012ee52c chromedriver + 4187436
11  chromedriver                        0x0000000101327488 chromedriver + 4420744
12  chromedriver                        0x00000001013275ec chromedriver + 4421100
13  chromedriver                        0x000000010133b92c chromedriver + 4503852
14  libsystem_pthread.dylib             0x00000001a0dc826c _pthread_start + 148
15  libsystem_pthread.dylib             0x00000001a0dc308c thread_start + 8
"
"CDKAL1
",,,,,,"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""a[data-ga-label=""Rattus norvegicus""]""}
  (Session info: chrome=102.0.5005.61)
Stacktrace:
0   chromedriver                        0x0000000101335170 chromedriver + 4477296
1   chromedriver                        0x00000001012ccc18 chromedriver + 4049944
2   chromedriver                        0x0000000100f1ed40 chromedriver + 191808
3   chromedriver                        0x0000000100f4db28 chromedriver + 383784
4   chromedriver                        0x0000000100f7685c chromedriver + 551004
5   chromedriver                        0x0000000100f42f58 chromedriver + 339800
6   chromedriver                        0x000000010130abd4 chromedriver + 4303828
7   chromedriver                        0x000000010130f094 chromedriver + 4321428
8   chromedriver                        0x0000000101313600 chromedriver + 4339200
9   chromedriver                        0x000000010130faf4 chromedriver + 4324084
10  chromedriver                        0x00000001012ee52c chromedriver + 4187436
11  chromedriver                        0x0000000101327488 chromedriver + 4420744
12  chromedriver                        0x00000001013275ec chromedriver + 4421100
13  chromedriver                        0x000000010133b92c chromedriver + 4503852
14  libsystem_pthread.dylib             0x00000001a0dc826c _pthread_start + 148
15  libsystem_pthread.dylib             0x00000001a0dc308c thread_start + 8
"
Igf2bp2 insulin-like growth factor 2 mRNA binding protein 2 [ Rattus norvegicus (Norway rat) ],https://www.ncbi.nlm.nih.gov/gene/303824/,protein coding,RGD1305614,"The protein encoded by this gene is a member of a family of mRNA binding proteins that have been shown to bind to several different mRNAs in mammalian cells, including insulin-like growth factor 2 mRNA. Generation of two different isoforms by alternative translation initiation at an internal start codon, has been described for this gene (PMID:22427968). [provided by RefSeq, Jul 2012]",11q23,
"CDKN2A
",,,,,,"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""a[data-ga-label=""Rattus norvegicus""]""}
  (Session info: chrome=102.0.5005.61)
Stacktrace:
0   chromedriver                        0x0000000101335170 chromedriver + 4477296
1   chromedriver                        0x00000001012ccc18 chromedriver + 4049944
2   chromedriver                        0x0000000100f1ed40 chromedriver + 191808
3   chromedriver                        0x0000000100f4db28 chromedriver + 383784
4   chromedriver                        0x0000000100f7685c chromedriver + 551004
5   chromedriver                        0x0000000100f42f58 chromedriver + 339800
6   chromedriver                        0x000000010130abd4 chromedriver + 4303828
7   chromedriver                        0x000000010130f094 chromedriver + 4321428
8   chromedriver                        0x0000000101313600 chromedriver + 4339200
9   chromedriver                        0x000000010130faf4 chromedriver + 4324084
10  chromedriver                        0x00000001012ee52c chromedriver + 4187436
11  chromedriver                        0x0000000101327488 chromedriver + 4420744
12  chromedriver                        0x00000001013275ec chromedriver + 4421100
13  chromedriver                        0x000000010133b92c chromedriver + 4503852
14  libsystem_pthread.dylib             0x00000001a0dc826c _pthread_start + 148
15  libsystem_pthread.dylib             0x00000001a0dc308c thread_start + 8
"
Hhex hematopoietically expressed homeobox [ Rattus norvegicus (Norway rat) ],https://www.ncbi.nlm.nih.gov/gene/79237/,protein coding,Hex,"Enables sequence-specific DNA binding activity. Involved in several processes, including negative regulation of transcription, DNA-templated; response to peptide hormone; and response to wounding. Located in nucleus. Orthologous to human HHEX (hematopoietically expressed homeobox). [provided by Alliance of Genome Resources, Apr 2022]",1q53,
Slc30a8 solute carrier family 30 member 8 [ Rattus norvegicus (Norway rat) ],https://www.ncbi.nlm.nih.gov/gene/299903/,protein coding,ZnT-8,"Predicted to enable protein homodimerization activity and zinc ion transmembrane transporter activity. Involved in several processes, including insulin secretion; ion homeostasis; and positive regulation of insulin secretion. Located in cytoplasmic vesicle. Human ortholog(s) of this gene implicated in type 2 diabetes mellitus. Orthologous to human SLC30A8 (solute carrier family 30 member 8). [provided by Alliance of Genome Resources, Apr 2022]",7q31,
"Fto FTO, alpha-ketoglutarate dependent dioxygenase [ Rattus norvegicus (Norway rat) ]",https://www.ncbi.nlm.nih.gov/gene/291905/,protein coding,RGD1305121,"Predicted to enable 2-oxoglutarate-dependent dioxygenase activity and ferrous iron binding activity. Predicted to be involved in several processes, including mRNA destabilization; nucleic acid metabolic process; and regulation of respiratory system process. Predicted to be located in cytosol; nuclear speck; and plasma membrane. Human ortholog(s) of this gene implicated in obesity. Orthologous to human FTO (FTO alpha-ketoglutarate dependent dioxygenase). [provided by Alliance of Genome Resources, Apr 2022]",19p11,
Tcf7l2 transcription factor 7 like 2 [ Rattus norvegicus (Norway rat) ],https://www.ncbi.nlm.nih.gov/gene/679869/,protein coding,"Predicted to enable several functions, including DNA-binding transcription activator activity, RNA polymerase II-specific; armadillo repeat domain binding activity; and beta-catenin binding activity. Involved in negative regulation of apoptotic process and regulation of transcription by RNA polymerase II. Predicted to be located in chromatin; cytosol; and nucleoplasm. Predicted to be part of beta-catenin-TCF7L2 complex and protein-DNA complex. Biomarker of type 2 diabetes mellitus. Human ortholog(s) of this gene implicated in colorectal cancer; diabetes mellitus (multiple); pancreatic cancer; and prostate cancer. Orthologous to human TCF7L2 (transcription factor 7 like 2). [provided by Alliance of Genome Resources, Apr 2022]","Biased expression in Spleen (RPKM 33.3), Kidney (RPKM 29.6) and 9 other tissues See more",1q55,
"Kcnj11 potassium inwardly-rectifying channel, subfamily J, member 11 [ Rattus norvegicus (Norway rat) ]",https://www.ncbi.nlm.nih.gov/gene/83535/,protein coding,Kir6.2,"Enables several functions, including ankyrin binding activity; inorganic cation transmembrane transporter activity; and protein C-terminus binding activity. Involved in several processes, including cation transport; cellular response to nicotine; and response to ischemia. Located in several cellular components, including axolemma; cell body fiber; and cytoplasmic vesicle. Part of inward rectifying potassium channel. Biomarker of brain disease (multiple); glucose metabolism disease (multiple); hypertension; and sciatic neuropathy. Human ortholog(s) of this gene implicated in familial hyperinsulinemic hypoglycemia 2 and glucose metabolism disease (multiple). Orthologous to human KCNJ11 (potassium inwardly rectifying channel subfamily J member 11). [provided by Alliance of Genome Resources, Apr 2022]",1q22,
Pparg peroxisome proliferator-activated receptor gamma [ Rattus norvegicus (Norway rat) ],https://www.ncbi.nlm.nih.gov/gene/25664/,protein coding,PPARgamma2,"Enables several functions, including DNA-binding transcription factor activity; estrogen receptor binding activity; and protein phosphatase binding activity. Involved in several processes, including positive regulation of cell differentiation; regulation of cellular macromolecule biosynthetic process; and response to vitamin. Located in cytosol; nucleus; and perinuclear region of cytoplasm. Used to study several diseases, including acute kidney failure; artery disease (multiple); pancreatitis; polycystic kidney disease; and transient cerebral ischemia. Biomarker of several diseases, including alcoholic cardiomyopathy; diabetic encephalopathy; hyperandrogenism; obesity; and transient cerebral ischemia. Human ortholog(s) of this gene implicated in several diseases, including cardiovascular system disease (multiple); end stage renal disease; lipodystrophy (multiple); obesity; and type 2 diabetes mellitus. Orthologous to human PPARG (peroxisome proliferator activated receptor gamma). [provided by Alliance of Genome Resources, Apr 2022]",4q42,
